anno_idx,scene_id,cand_id,scene_dur,n_tokens,TTS_speech_dur,human_AD_text,gen_AD_text,tvad_name,AD_start,AD_end,quality_score2,quality_score1,consensus_score,n_action_verbs,verb_density,noun_ratio,pronoun_to_noun_ratio,type_token_ratio,len_diff_from_mean
0,s0,A,1.8619999999999948,7,2.8,His umbrella springs open between them.,"Phoebe holds Rachel's hand, looking at her.",friends_s01e01_seg02_clip_04,240.25,242.112,0.336894154548645,0.17218449711799622,0.6098552942276001,2,0.2,0.1,1.0,1.0,-1.1999999999999993
0,s0,B,1.8619999999999948,8,3.2,His umbrella springs open between them.,"Rachel kneels, holding a cup, as Phoebe gazes.",friends_s01e01_seg02_clip_04,240.25,242.112,0.3499077320098877,0.16424418985843658,0.5837825536727905,1,0.09090909090909091,0.18181818181818182,0.0,1.0,-0.1999999999999993
0,s0,C,1.8619999999999948,9,3.6,His umbrella springs open between them.,"Phoebe Buffay stands in her wedding dress, holding Rachel.",friends_s01e01_seg02_clip_04,240.25,242.112,0.3453381776809693,0.09580416977405548,0.5409110188484192,1,0.09090909090909091,0.18181818181818182,0.5,1.0,0.8000000000000007
0,s0,D,1.8619999999999948,8,3.2,His umbrella springs open between them.,"Rachel looks up at Phoebe, cup in hand.",friends_s01e01_seg02_clip_04,240.25,242.112,0.339857006072998,0.17590272426605225,0.5895059704780579,1,0.1,0.2,0.0,1.0,-0.1999999999999993
0,s0,E,1.8619999999999948,9,3.6,His umbrella springs open between them.,"Phoebe Buffay stands, holding Rachel's hand, in a dress.",friends_s01e01_seg02_clip_04,240.25,242.112,0.344496214389801,0.09389875829219818,0.5921441316604614,1,0.07692307692307693,0.15384615384615385,0.0,1.0,0.8000000000000007
1,s1,A,2.7050000000000125,12,4.8,"He awkwardly sits down, and Joey pats his shoulder.","Rachel stands in a wedding dress, talking to Phoebe on the couch.",friends_s01e01_seg02_clip_04,242.653,245.358,0.3221753478050232,0.2261674702167511,0.5690895318984985,0,0.0,0.21428571428571427,0.0,1.0,-1.1999999999999993
1,s1,B,2.7050000000000125,11,4.4,"He awkwardly sits down, and Joey pats his shoulder.","Phoebe sits on the couch, surrounded by Monica, Ross, and Joey.",friends_s01e01_seg02_clip_04,242.653,245.358,0.3320053339004517,0.4531100392341614,0.4755719304084778,0,0.0,0.06666666666666667,0.0,1.0,-2.1999999999999993
1,s1,C,2.7050000000000125,13,5.2,"He awkwardly sits down, and Joey pats his shoulder.","Rachel wears a wedding dress, while Joey munches on food on the couch.",friends_s01e01_seg02_clip_04,242.653,245.358,0.3252171397209167,0.37119024991989136,0.4929562211036682,0,0.0,0.26666666666666666,0.0,0.9230769230769231,-0.1999999999999993
1,s1,D,2.7050000000000125,13,5.2,"He awkwardly sits down, and Joey pats his shoulder.","Monica stands behind Phoebe, as Rachel talks to her in a wedding dress.",friends_s01e01_seg02_clip_04,242.653,245.358,0.282684302330017,0.20670484006404877,0.5450955629348755,0,0.0,0.13333333333333333,0.5,1.0,-0.1999999999999993
1,s1,E,2.7050000000000125,17,6.8,"He awkwardly sits down, and Joey pats his shoulder.","Phoebe sits on the couch, with Ross and Monica nearby, while Rachel stands in a wedding dress.",friends_s01e01_seg02_clip_04,242.653,245.358,0.3197669863700867,0.2966911196708679,0.6147619485855103,0,0.0,0.15,0.0,1.0,3.8000000000000007
