,anno_idx,end,imdbid,start,text_gen,text_gt,gt_action,action_score_breakdown,action_score
0,0,242.112,tt0583459,240.25,"Phoebe holds Rachel's hand, looking at her.",His umbrella springs open between them.,"['His umbrella springs open.', 'It springs open between them.']","[0.34778468608856206, 0.32600362300872804]",0.336894154548645
1,0,242.112,tt0583459,240.25,"Rachel kneels, holding a cup, as Phoebe gazes.",His umbrella springs open between them.,"['His umbrella springs open.', 'It springs open between them.']","[0.3654496192932129, 0.3343658447265625]",0.3499077320098877
2,0,242.112,tt0583459,240.25,"Phoebe Buffay stands in her wedding dress, holding Rachel.",His umbrella springs open between them.,"['His umbrella springs open.', 'It springs open between them.']","[0.3521953582763672, 0.33848099708557133]",0.3453381776809693
3,0,242.112,tt0583459,240.25,"Rachel looks up at Phoebe, cup in hand.",His umbrella springs open between them.,"['His umbrella springs open.', 'It springs open between them.']","[0.36696121692657474, 0.3127527952194214]",0.33985700607299807
4,0,242.112,tt0583459,240.25,"Phoebe Buffay stands, holding Rachel's hand, in a dress.",His umbrella springs open between them.,"['His umbrella springs open.', 'It springs open between them.']","[0.3544419527053833, 0.3345504760742188]",0.34449621438980105
5,1,245.358,tt0583459,242.653,"Rachel stands in a wedding dress, talking to Phoebe on the couch.","He awkwardly sits down, and Joey pats his shoulder.","['He awkwardly sits down.', 'He pats his shoulder.']","[0.3102839708328247, 0.3340667247772217]",0.3221753478050232
6,1,245.358,tt0583459,242.653,"Phoebe sits on the couch, surrounded by Monica, Ross, and Joey.","He awkwardly sits down, and Joey pats his shoulder.","['He awkwardly sits down.', 'He pats his shoulder.']","[0.35181717872619633, 0.31219348907470706]",0.3320053339004517
7,1,245.358,tt0583459,242.653,"Rachel wears a wedding dress, while Joey munches on food on the couch.","He awkwardly sits down, and Joey pats his shoulder.","['He awkwardly sits down.', 'He pats his shoulder.']","[0.3350247859954834, 0.3154094934463501]",0.32521713972091676
8,1,245.358,tt0583459,242.653,"Monica stands behind Phoebe, as Rachel talks to her in a wedding dress.","He awkwardly sits down, and Joey pats his shoulder.","['He awkwardly sits down.', 'He pats his shoulder.']","[0.2883260726928711, 0.2770425319671631]",0.28268430233001707
9,1,245.358,tt0583459,242.653,"Phoebe sits on the couch, with Ross and Monica nearby, while Rachel stands in a wedding dress.","He awkwardly sits down, and Joey pats his shoulder.","['He awkwardly sits down.', 'He pats his shoulder.']","[0.36283149719238283, 0.27670247554779054]",0.3197669863700867
