scene_id,cand_id,scene_dur,speech_dur,silence_dur,n_silence_windows,n_visual_events,n_tokens,TTS_speech_dur,fits_silence,human_AD_text,gen_AD_text,human_AD_sim,quality_score,tvad_name,AD_start,AD_end
s0,A,1.8619999999999948,,,,5,7,2.8,,His umbrella springs open between them.,"Phoebe holds Rachel's hand, looking at her.",0.17218463122844696,0.17218463122844696,friends_s01e01_seg02_clip_04,240.25,242.112
s0,B,1.8619999999999948,,,,5,8,3.2,,His umbrella springs open between them.,"Rachel kneels, holding a cup, as Phoebe gazes.",0.16424424946308136,0.16424424946308136,friends_s01e01_seg02_clip_04,240.25,242.112
s0,C,1.8619999999999948,,,,5,9,3.6,,His umbrella springs open between them.,"Phoebe Buffay stands in her wedding dress, holding Rachel.",0.09580425173044205,0.09580425173044205,friends_s01e01_seg02_clip_04,240.25,242.112
s0,D,1.8619999999999948,,,,5,8,3.2,,His umbrella springs open between them.,"Rachel looks up at Phoebe, cup in hand.",0.17590278387069702,0.17590278387069702,friends_s01e01_seg02_clip_04,240.25,242.112
s0,E,1.8619999999999948,,,,5,9,3.6,,His umbrella springs open between them.,"Phoebe Buffay stands, holding Rachel's hand, in a dress.",0.09389874339103699,0.09389874339103699,friends_s01e01_seg02_clip_04,240.25,242.112
s1,A,2.7050000000000125,,,,5,12,4.8,,"He awkwardly sits down, and Joey pats his shoulder.","Rachel stands in a wedding dress, talking to Phoebe on the couch.",0.22616751492023468,0.22616751492023468,friends_s01e01_seg02_clip_04,242.653,245.358
s1,B,2.7050000000000125,,,,5,11,4.4,,"He awkwardly sits down, and Joey pats his shoulder.","Phoebe sits on the couch, surrounded by Monica, Ross, and Joey.",0.4531099796295166,0.4531099796295166,friends_s01e01_seg02_clip_04,242.653,245.358
s1,C,2.7050000000000125,,,,5,13,5.2,,"He awkwardly sits down, and Joey pats his shoulder.","Rachel wears a wedding dress, while Joey munches on food on the couch.",0.3711903393268585,0.3711903393268585,friends_s01e01_seg02_clip_04,242.653,245.358
s1,D,2.7050000000000125,,,,5,13,5.2,,"He awkwardly sits down, and Joey pats his shoulder.","Monica stands behind Phoebe, as Rachel talks to her in a wedding dress.",0.20670466125011444,0.20670466125011444,friends_s01e01_seg02_clip_04,242.653,245.358
s1,E,2.7050000000000125,,,,5,17,6.8,,"He awkwardly sits down, and Joey pats his shoulder.","Phoebe sits on the couch, with Ross and Monica nearby, while Rachel stands in a wedding dress.",0.2966912090778351,0.2966912090778351,friends_s01e01_seg02_clip_04,242.653,245.358
s2,A,1.100999999999999,,,,5,4,1.6,,Rachel sits next to him.,Rachel sits down smiling.,0.7075151801109314,0.7075151801109314,friends_s01e01_seg02_clip_04,245.979,247.08
s2,B,1.100999999999999,,,,5,6,2.4,,Rachel sits next to him.,Rachel puts hands on her lap.,0.5858767628669739,0.5858767628669739,friends_s01e01_seg02_clip_04,245.979,247.08
s2,C,1.100999999999999,,,,5,6,2.4,,Rachel sits next to him.,Rachel smiles at Monica and Phoebe.,0.5623608231544495,0.5623608231544495,friends_s01e01_seg02_clip_04,245.979,247.08
s2,D,1.100999999999999,,,,5,5,2.0,,Rachel sits next to him.,Rachel sits with her hands.,0.7837626934051514,0.7837626934051514,friends_s01e01_seg02_clip_04,245.979,247.08
s2,E,1.100999999999999,,,,5,6,2.4,,Rachel sits next to him.,Rachel smiles and looks at them.,0.583682656288147,0.583682656288147,friends_s01e01_seg02_clip_04,245.979,247.08
s3,A,2.2810000000000628,,,,5,8,3.2,,Monica beams and sidles back inside.,Monica holds a cup while chatting with friends.,0.4341351389884949,0.4341351389884949,friends_s01e01_seg02_clip_19,903.382,905.663
s3,B,2.2810000000000628,,,,5,8,3.2,,Monica beams and sidles back inside.,"Rachel and Joey join Monica, all holding cups.",0.5340025424957275,0.5340025424957275,friends_s01e01_seg02_clip_19,903.382,905.663
s3,C,2.2810000000000628,,,,5,8,3.2,,Monica beams and sidles back inside.,"Monica talks to friends, all holding cups nearby.",0.5036722421646118,0.5036722421646118,friends_s01e01_seg02_clip_19,903.382,905.663
s3,D,2.2810000000000628,,,,5,9,3.6,,Monica beams and sidles back inside.,"Monica, Rachel, and Joey gather, each with a cup.",0.5267442464828491,0.5267442464828491,friends_s01e01_seg02_clip_19,903.382,905.663
s3,E,2.2810000000000628,,,,5,7,2.8,,Monica beams and sidles back inside.,"Monica, surrounded by friends, holds a cup.",0.5193529725074768,0.5193529725074768,friends_s01e01_seg02_clip_19,903.382,905.663
s4,A,1.2810000000000628,,,,5,5,2.0,,She shuts the door behind her.,Chandler irons while Monica talks.,0.25481465458869934,0.25481465458869934,friends_s01e01_seg02_clip_19,906.184,907.465
s4,B,1.2810000000000628,,,,5,6,2.4,,She shuts the door behind her.,Rachel chats on the phone nearby.,0.28958144783973694,0.28958144783973694,friends_s01e01_seg02_clip_19,906.184,907.465
s4,C,1.2810000000000628,,,,5,5,2.0,,She shuts the door behind her.,Joey sits watching Chandler iron.,0.15678507089614868,0.15678507089614868,friends_s01e01_seg02_clip_19,906.184,907.465
