shot_list,tvad_name
"[(1, 4), (5, 6), (7, 16), (17, 25), (26, 35), (36, 46), (47, 56), (57, 103), (104, 131), (132, 138), (139, 142), (143, 151), (152, 157), (158, 182)]",friends_s01e01_seg02_clip_04
"[(1, 11), (12, 14), (15, 20), (21, 27), (28, 38), (39, 48), (49, 59), (60, 74), (75, 96), (97, 115), (116, 132), (133, 138), (139, 149), (150, 158), (159, 167), (168, 173), (174, 177), (178, 185)]",friends_s01e01_seg02_clip_19
"[(1, 11), (12, 17), (18, 37), (38, 90), (91, 114), (115, 136), (137, 142), (143, 145), (146, 149), (150, 154), (155, 159), (160, 167)]",friends_s01e01_seg02_clip_27
"[(1, 3), (4, 9), (10, 23), (24, 30), (31, 35), (36, 39), (40, 47), (48, 56), (57, 62), (63, 76), (77, 89), (90, 93), (94, 110), (111, 113), (114, 124), (125, 130), (131, 132), (133, 140), (141, 142), (143, 146), (147, 150), (151, 152), (153, 159), (160, 163), (164, 185), (186, 188)]",friends_s01e02_seg02_clip_00
"[(1, 12), (13, 26), (27, 36), (37, 63), (64, 83), (84, 90), (91, 93), (94, 95), (96, 102), (103, 107), (108, 117), (118, 140), (141, 151), (152, 159), (160, 176)]",friends_s01e02_seg02_clip_05
"[(1, 2), (3, 13), (14, 26), (27, 32), (33, 40), (41, 43), (44, 64), (65, 69), (70, 77), (78, 82), (83, 108), (109, 117), (118, 123), (124, 129), (130, 134), (135, 142), (143, 146), (147, 157), (158, 167)]",friends_s01e02_seg02_clip_07
"[(1, 2), (3, 6), (7, 20), (21, 58), (59, 76), (77, 90), (91, 115), (116, 120), (121, 127), (128, 137), (138, 176)]",friends_s01e02_seg02_clip_12
"[(1, 10), (11, 16), (17, 20), (21, 36), (37, 73), (74, 76), (77, 91), (92, 103), (104, 131), (132, 151), (152, 171), (172, 176)]",friends_s01e02_seg02_clip_13
"[(1, 3), (4, 16), (17, 43), (44, 45), (46, 51), (52, 53), (54, 74), (75, 81), (82, 87), (88, 90), (91, 115), (116, 120), (121, 145), (146, 158), (159, 169), (170, 181), (182, 191)]",friends_s01e02_seg02_clip_14
"[(1, 15), (16, 22), (23, 26), (27, 35), (36, 40), (41, 43), (44, 47), (48, 51), (52, 58), (59, 72), (73, 76), (77, 87), (88, 92), (93, 102), (103, 108), (109, 118), (119, 132), (133, 150), (151, 162), (163, 179)]",friends_s01e02_seg02_clip_19
"[(1, 6), (7, 30), (31, 40), (41, 46), (47, 57), (58, 75), (76, 104), (105, 109), (110, 120), (121, 129), (130, 142), (143, 159), (160, 161), (162, 167), (168, 171), (172, 176)]",friends_s01e02_seg02_clip_20
"[(1, 7), (8, 22), (23, 26), (27, 36), (37, 47), (48, 64), (65, 73), (74, 78), (79, 93), (94, 105), (106, 130), (131, 180), (181, 186), (187, 193), (194, 208), (209, 214), (215, 219), (220, 239)]",friends_s01e02_seg02_clip_21
"[(1, 5), (6, 21), (22, 25), (26, 36), (37, 41), (42, 50), (51, 67), (68, 70), (71, 85), (86, 95), (96, 99), (100, 115), (116, 120), (121, 133), (134, 142), (143, 149), (150, 164), (165, 178), (179, 193), (194, 204), (205, 208), (209, 212), (213, 216), (217, 220), (221, 225), (226, 228), (229, 232), (233, 242), (243, 247), (248, 254)]",friends_s01e03_seg01_clip_00
"[(1, 2), (3, 10), (11, 29), (30, 44), (45, 51), (52, 60), (61, 73), (74, 92), (93, 96), (97, 124), (125, 134), (135, 149), (150, 158), (159, 167), (168, 173), (174, 191)]",friends_s01e03_seg02_clip_00
"[(1, 2), (3, 6), (7, 21), (22, 29), (30, 46), (47, 65), (66, 71), (72, 82), (83, 91), (92, 123), (124, 130), (131, 140), (141, 145), (146, 148), (149, 151), (152, 155), (156, 166), (167, 173), (174, 187), (188, 197)]",friends_s01e03_seg02_clip_02
"[(1, 2), (3, 16), (17, 26), (27, 32), (33, 40), (41, 47), (48, 53), (54, 56), (57, 68), (69, 88), (89, 108), (109, 121), (122, 125), (126, 133), (134, 137), (138, 154), (155, 161), (162, 165), (166, 185)]",friends_s01e03_seg02_clip_09
"[(1, 2), (3, 10), (11, 16), (17, 24), (25, 30), (31, 33), (34, 38), (39, 45), (46, 54), (55, 60), (61, 66), (67, 75), (76, 80), (81, 97), (98, 147), (148, 172), (173, 197), (198, 203), (204, 283), (284, 287)]",friends_s01e03_seg02_clip_11
"[(1, 31), (32, 36), (37, 51), (52, 54), (55, 59), (60, 69), (70, 80), (81, 83)]",friends_s01e03_seg02_clip_12
"[(1, 3), (4, 12), (13, 24), (25, 28), (29, 33), (34, 36), (37, 39), (40, 44), (45, 49), (50, 55), (56, 59), (60, 73), (74, 77), (78, 84), (85, 95), (96, 101), (102, 104), (105, 108), (109, 114), (115, 118), (119, 123), (124, 128), (129, 133), (134, 153), (154, 163), (164, 182), (183, 192), (193, 194)]",friends_s01e03_seg02_clip_13
"[(1, 11), (12, 19), (20, 22), (23, 28), (29, 45), (46, 47), (48, 56), (57, 59), (60, 67), (68, 76), (77, 94), (95, 99), (100, 102), (103, 106), (107, 113), (114, 139), (140, 164)]",friends_s01e03_seg02_clip_14
"[(1, 30), (31, 45), (46, 70), (71, 94), (95, 126), (127, 135), (136, 154), (155, 162), (163, 172), (173, 182), (183, 189), (190, 191)]",friends_s01e03_seg02_clip_16
