anno_idx,end,imdbid,start,text_gen,text_gt
0,242.112,tt0583459,240.25,"[""Phoebe holds Rachel's hand, looking at her."", 'Rachel kneels, holding a cup, as Phoebe gazes.', 'Phoebe Buffay stands in her wedding dress, holding Rachel.', 'Rachel looks up at Phoebe, cup in hand.', ""Phoebe Buffay stands, holding Rachel's hand, in a dress.""]",His umbrella springs open between them.
1,245.358,tt0583459,242.653,"['Rachel stands in a wedding dress, talking to Phoebe on the couch.', 'Phoebe sits on the couch, surrounded by Monica, Ross, and Joey.', 'Rachel wears a wedding dress, while Joey munches on food on the couch.', 'Monica stands behind Phoebe, as Rachel talks to her in a wedding dress.', 'Phoebe sits on the couch, with Ross and Monica nearby, while Rachel stands in a wedding dress.']","He awkwardly sits down, and Joey pats his shoulder."
2,247.08,tt0583459,245.979,"['Rachel sits down smiling.', 'Rachel puts hands on her lap.', 'Rachel smiles at Monica and Phoebe.', 'Rachel sits with her hands.', 'Rachel smiles and looks at them.']",Rachel sits next to him.
3,905.663,tt0583459,903.382,"['Monica holds a cup while chatting with friends.', 'Rachel and Joey join Monica, all holding cups.', 'Monica talks to friends, all holding cups nearby.', 'Monica, Rachel, and Joey gather, each with a cup.', 'Monica, surrounded by friends, holds a cup.']",Monica beams and sidles back inside.
4,907.465,tt0583459,906.184,"['Chandler irons while Monica talks.', 'Rachel chats on the phone nearby.', 'Joey sits watching Chandler iron.', 'Chandler talks to Monica standing.', 'Monica stands while Chandler irons.']",She shuts the door behind her.
5,1294.199,tt0583459,1292.779,"['Rachel gets up from the couch.', 'Ross remains seated on the couch.', 'Rachel walks towards the table.', 'Rachel leaves the couch behind.', 'Ross stays put on the couch.']",Rachel smiles and stands.
6,1299.126,tt0583459,1297.945,"['Ross holds a glass of water.', 'Rachel walks towards the kitchen.', 'Ross looks at Rachel.', 'Rachel gets up from the couch.', 'Ross sits on the couch holding water.']",She heads into her bedroom.
7,167.64,tt0583647,164.381,"['Ross walks towards a caveman statue and converses with it.', 'Ross talks to a woman in a red vest and a man in a blue shirt.', 'Ross approaches a caveman statue and engages in conversation.', 'Ross interacts with a woman in a red vest and a man in a blue shirt.', 'Ross walks towards a caveman statue, then talks to a woman and man.']",Marsha slumps off as Ross waves Carol into the exhibit.
8,170.96,tt0583647,168.16,"['Ross walks away after conversing with someone.', 'Ross talks to someone before walking away.', 'Ross engages in a conversation, then leaves.', 'Ross has a brief chat before departing.', 'Ross walks off after a short conversation.']","He tries to adjust the caveman, and the arm falls off."
9,174.06,tt0583647,171.68,"['Ross falls to the ground in front of a woman in blue.', 'Ross talks to a woman in a blue dress, then falls down.', 'Ross converses with a woman in a blue dress, then hits the ground.', 'Ross falls to the ground, near a woman in a blue dress.', 'Ross talks to a woman in blue, then collapses to the ground.']",He picks it up and uses it to wave at Carol.
10,175.899,tt0583647,174.66,"['Ross stands in the museum.', 'Ross talks to a woman.', 'Ross engages with a woman.', 'Woman and Ross converse.', 'Ross stands with a woman.']",She awkwardly waves back.
11,400.075,tt0583647,398.075,"['Monica holds a pizza box over her head.', 'Chandler looks at Monica and walks away.', 'Monica puts a pizza box on the table.', 'Monica walks towards the table where Chandler is.', 'Chandler looks at Monica and walks away from the table.']","She peers through the pan, then sets it down."
12,409.937,tt0583647,407.616,"['Monica holds a pizza box, Rachel stands beside her.', 'Chandler looks at the pizza box, Monica and Rachel walk away.', 'Monica and Rachel interact, Chandler gazes at the pizza box.', 'Rachel stands by Monica, who holds a pizza box.', 'Monica and Rachel walk off, leaving Chandler at the pizza box.']","Chandler, Joey, and Phoebe dig through the dish."
