anno_idx,end,end_,imdbid,start,start_,text_gen,text_gt
0,242.112,240.25,tt0583459,240.25,240.25,"1. Main characters: Phoebe Buffay (green), Rachel Green (red);
2. Actions: Phoebe Buffay is standing in a wedding dress and Rachel Green is kneeling in front of her. Phoebe Buffay is holding Rachel Green's hand and Rachel Green is holding a cup. Phoebe Buffay is looking at Rachel Green;
3. Character-character interactions: Phoebe Buffay is looking at Rachel Green, Rachel Green is holding a cup and looking at Phoebe Buffay;
4. Key objects: wedding dress, cup.",His umbrella springs open between them.
1,245.358,242.653,tt0583459,242.653,242.653,"1. Main characters: Rachel Green, Phoebe Buffay, Dr. Ross Geller, Joey Tribbiani, Monica Geller;
2. Actions: Rachel Green is standing in a wedding dress and talking to Phoebe Buffay, who is sitting on a couch. Dr. Ross Geller is standing behind Phoebe, and Joey Tribbiani is sitting on the couch with a bowl of food. Monica Geller is standing behind Phoebe, talking to her;
3. Character-character interactions: Rachel Green is talking to Phoebe Buffay, Dr. Ross Geller is standing behind Phoebe, and Joey Tribbiani is sitting on the couch with a bowl of food. Monica Geller is standing behind Phoebe, talking to her;
4. Key objects: wedding dress, couch, bowl of food, Monica Geller, Dr. Ross Geller, Joey Tribbiani.","He awkwardly sits down, and Joey pats his shoulder."
2,247.08,245.979,tt0583459,245.979,245.979,"1. Main characters: Rachel Green;
2. Actions: Rachel sits down on the couch, puts her hands on her lap, and smiles;
3. Character-character interactions: Rachel looks at Monica and Phoebe;
4. Key objects: couch, hands, lap, smile.",Rachel sits next to him.
3,905.663,903.382,tt0583459,903.382,903.382,"1. Main characters: Monica Geller (red), Chandler Bing (green), Rachel Green (blue), Joey Tribbiani (yellow).
2. Actions: Monica is talking to Chandler, Chandler is talking to Monica, Rachel is talking to Monica, Joey is talking to Monica.
3. Character-character interactions: Monica is talking to Chandler, Chandler is talking to Monica, Rachel is talking to Monica, Joey is talking to Monica.
4. Key objects: Monica is holding a cup, Chandler is holding a cup, Rachel is holding a cup, Joey is holding a cup.",Monica beams and sidles back inside.
4,907.465,906.184,tt0583459,906.184,906.184,"1. Main characters: Chandler Bing (red), Rachel Green (green), Joey Tribbiani (blue), Monica Geller (yellow);
2. Actions: Chandler Bing is ironing clothes on the table, Rachel Green is talking on the phone, Joey Tribbiani is sitting on the chair, Monica Geller is standing and talking;
3. Character-character interactions: Chandler Bing is talking to Monica Geller, Rachel Green is talking to Chandler Bing, Joey Tribbiani is looking at Chandler Bing.",She shuts the door behind her.
5,1294.199,1292.779,tt0583459,1292.779,1292.779,"1. Main characters: Rachel Green (green), Dr. Ross Geller (red).
2. Actions: In Shot 1, Rachel is sitting on the couch, smiling, and talking to Dr. Ross, who is also sitting on the couch and listening. In Shot 2, Rachel stands up and walks towards the table, while Dr. Ross remains seated.
3. Character-character interactions: Rachel is talking to Dr. Ross, and Dr. Ross is listening to her.
4. Key objects: The couch, the table, and the lamp.",Rachel smiles and stands.
6,1299.126,1297.945,tt0583459,1297.945,1297.945,"1. Main characters: Dr. Ross Geller, Rachel Green.
2. Actions: Dr. Ross Geller is sitting on the couch, holding a glass of water. Rachel Green is standing up from the couch, walking towards the kitchen.
3. Character-character interactions: Dr. Ross Geller looks at Rachel Green as she walks away.",She heads into her bedroom.
7,167.64,164.381,tt0583647,164.381,164.381,"1. Main characters: Dr. Ross Geller (red).
2. Actions: Dr. Ross Geller is talking to a woman in a red vest and a man in a blue shirt. He then walks towards a statue of a caveman and talks to it.
3. Character-character interactions: Dr. Ross Geller is talking to a woman in a red vest and a man in a blue shirt. He then talks to a statue of a caveman.
4. Key objects: Dr. Ross Geller, a woman in a red vest, a man in a blue shirt, a statue of a caveman.",Marsha slumps off as Ross waves Carol into the exhibit.
8,170.96,168.16,tt0583647,168.16,168.16,"1. Main characters: Dr. Ross Geller (red circle).
2. Actions: Dr. Ross Geller is talking to someone and then walks away.
3. Character-character interactions: Dr. Ross Geller is talking to someone.
4. Key objects: None.","He tries to adjust the caveman, and the arm falls off."
9,174.06,171.68,tt0583647,171.68,171.68,"1. Main characters: Dr. Ross Geller (red);
2. Actions: Dr. Ross Geller is talking to a woman in a blue dress, and then he falls down on the ground.
3. Character-character interactions: Dr. Ross Geller is talking to a woman in a blue dress.",He picks it up and uses it to wave at Carol.
10,175.899,174.66,tt0583647,174.66,174.66,"1. Main characters: Dr. Ross Geller.
2. Actions: Dr. Ross Geller is talking to a woman in a museum.
3. Character-character interactions: Dr. Ross Geller is talking to a woman in a museum.",She awkwardly waves back.
